SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
KBPI;BPI;BIG PINEY-MARBLETON AIRPORT;BIG PINEY, WYOMING;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,585;-110,111111
KBPK;WMH;OZARK REGIONAL AIRPORT (FORMERLY BAXTER COUNTY REGIONAL AIRPORT);MOUNTAIN HOME, ARKANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,368889;-92,470556
KBPP;BWM;BOWMAN MUNICIPAL AIRPORT;BOWMAN, NORTH DAKOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;46,186944;-103,428056
KBPT;BPT;SOUTHEAST TEXAS REGIONAL AIRPORT;NEDERLAND, TEXAS (NEAR BEAUMONT & PORT ARTHUR);;ESTADOS UNIDOS DA AMÉRICA;N/I;29,950833;-94,020556
KBQK;BQK;BRUNSWICK GOLDEN ISLES AIRPORT;BRUNSWICK, GEORGIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;31,258889;-81,466389
KBQR;BQR;BUFFALO-LANCASTER AIRPORT;LANCASTER, NEW YORK;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,922222;-78,612222
KBRD;BRD;BRAINERD LAKES REGIONAL AIRPORT;BRAINERD, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;46,402222;-94,135556
KBRL;BRL;SOUTHEAST IOWA REGIONAL AIRPORT;BURLINGTON, IOWA;;ESTADOS UNIDOS DA AMÉRICA;N/I;40,783056;-91,125556
KBRO;BRO;BROWNSVILLE/SOUTH PADRE ISLAND INTERNATIONAL AIRPORT;BROWNSVILLE, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;25,906944;-97,425833
KBRY;BRY;SAMUELS FIELD;BARDSTOWN, KENTUCKY;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,814444;-85,499722
KBST;...;BELFAST MUNICIPAL AIRPORT;BELFAST, MAINE;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,409444;-69,011944
KBTA;...;BLAIR MUNICIPAL AIRPORT;BLAIR, NEBRASKA;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,4180984;-96,1136017
